Fecha,Descripción,Referencia,Valor
11/03/2023,PAGO PSE,71943,311000
11/09/2023,PAGO PSE,6628,563736
11/09/2023,PAGO PSE,74307,31000
11/10/2023,PAGO PSE,0000042900,1
11/29/2023,PAGO PSE,68574,1773525
11/29/2023,PAGO PSE,49768,33000
12/11/2023,PAGO PSE,95132,19000
12/12/2023,PAGO PSE,37060,360082
12/13/2023,PAGO PSE,39527,1930411
12/14/2023,PAGO PSE,0000027600,42000
12/15/2023,PAGO PSE,32869,301143
12/15/2023,PAGO PSE,0000093000,20000
12/19/2023,PAGO PSE,37561,1607775
12/19/2023,PAGO PSE,78677,1200000
12/28/2023,PAGO PSE,47664,34000
12/28/2023,PAGO PSE,6277,1607775
01/02/2024,PAGO PSE,16957,184700
01/02/2024,PAGO PSE,22271,19000
01/07/2024,PAGO PSE,0000038300,28200
01/07/2024,PAGO PSE,0000084900,64830
01/13/2024,PAGO PSE,0000034500,30000
01/31/2024,PAGO PSE,0000012600,601575
02/06/2024,PAGO PSE,64192,648000
02/07/2024,PAGO PSE,68906,1715025
02/07/2024,PAGO PSE,26354,5379075
02/12/2024,PAGO PSE,0000002227,23000
02/12/2024,PAGO PSE,0000002227,23000
07/21/2023,PAGO PSE,86098,1442055
10/31/2023,PAGO PSE,49281,689000
08/31/2023,PAGO PSE,23626,126000
02/13/2024,PAGO PSE,0000067200,1000000
02/15/2024,PAGO PSE,30855,131500
02/16/2024,PAGO PSE,95737,269000
02/19/2024,PAGO PSE,59634,1851525
02/19/2024,PAGO PSE,80708,140000
02/20/2024,PAGO PSE,30034,200000
02/23/2024,PAGO PSE,54888,4071626
02/28/2024,PAGO PSE,98529,97000
02/29/2024,PAGO PSE,95123,1433000
03/04/2024,PAGO PSE,20690,43000
02/12/2024,PAGO PSE,0000011700,20000
03/11/2024,PAGO PSE,62128,3430050
03/11/2024,PAGO PSE,80492,154000
03/13/2024,PAGO PSE,89106,75100
03/19/2024,PAGO PSE,0000020700,50000
03/20/2024,PAGO PSE,60476,371000
03/21/2024,PAGO PSE,81002,235000
03/26/2024,PAGO PSE,53416,12000
04/06/2024,PAGO PSE,9825,1068333
04/09/2024,PAGO PSE,91254,778000
04/10/2024,PAGO PSE,2053,350000
04/10/2024,PAGO PSE,64298,222292
04/10/2024,PAGO PSE,45029,299280
04/11/2024,PAGO PSE,90412,390000
04/12/2024,PAGO PSE,86878,350000
04/15/2024,PAGO PSE,66001,73800
04/16/2024,PAGO PSE,38625,290000
04/17/2024,PAGO PSE,52692,70000
04/17/2024,PAGO PSE,10465,31000
04/17/2024,PAGO PSE,84892,76400
04/17/2024,PAGO PSE,36892,280000
04/19/2024,PAGO PSE,0000011100,10000
04/22/2024,PAGO PSE,75654,290000
04/23/2024,PAGO PSE,0000098800,372000
04/24/2024,PAGO PSE,45382,96000
04/24/2024,PAGO PSE,24980,96000
04/29/2024,PAGO PSE,0000044600,440000
05/06/2024,PAGO PSE,94111,62000
05/07/2024,PAGO PSE,28467,1000000
05/09/2024,PAGO PSE,93994,6044355
05/14/2024,PAGO PSE,37032,96900
05/14/2024,PAGO PSE,17558,430000
05/17/2024,PAGO PSE,97986,273500
05/17/2024,PAGO PSE,39575,31000
05/20/2024,PAGO PSE,83938,20000
05/22/2024,PAGO PSE,39714,703089
05/22/2024,PAGO PSE,39078,455000
05/23/2024,PAGO PSE,16288,65000
06/04/2024,PAGO PSE,15134,1500000
06/07/2024,PAGO PSE,48719,38000
06/19/2024,PAGO PSE,53038,1438000
06/19/2024,PAGO PSE,62821,178083
06/19/2024,PAGO PSE,97310,29000
04/10/2024,PAGO PSE,0000023400,1635000
07/02/2024,PAGO PSE,17996,140000
07/09/2024,PAGO PSE,55831,31000
07/10/2024,PAGO PSE,48225,293000
02/06/2024,PAGO PSE,27062,15000
07/22/2024,PAGO PSE,72218,425000
07/23/2024,PAGO PSE,15996,243847
07/25/2024,PAGO PSE,15117,1754025
07/31/2024,PAGO PSE,0000063400,40000
08/01/2024,PAGO PSE,26888,30000
08/03/2024,PAGO PSE,55096,1000000
08/05/2024,PAGO PSE,000009090o,230000
08/06/2024,PAGO PSE,60035,155000
08/06/2024,PAGO PSE,42851,195000
08/12/2024,PAGO PSE,18616,41000
08/16/2024,PAGO PSE,42518,1687089
08/20/2024,PAGO PSE,0000043400,1000000
08/21/2024,PAGO PSE,0000074800,30000
09/02/2024,PAGO PSE,79286,6320349
09/03/2024,PAGO PSE,91234,1000000
09/04/2024,PAGO PSE,2293,6082373
09/04/2024,PAGO PSE,23935,832000
09/12/2024,PAGO PSE,19,90000
09/12/2024,PAGO PSE,29784,39000
07/31/2024,PAGO PSE,58337,2770000
10/02/2024,PAGO PSE,0000015300,100000
10/03/2024,PAGO PSE,0000087000,70000
10/04/2024,PAGO PSE,98842,2437107
10/04/2024,PAGO PSE,58049,1000000
10/16/2024,PAGO PSE,37617,2388158
10/16/2024,PAGO PSE,d889b9aafea2,45000
10/17/2024,PAGO PSE,0000083800,235000
10/22/2024,PAGO PSE,35083,1232800
10/24/2024,PAGO PSE,89759,832000
11/01/2024,PAGO PSE,53017,406500
11/05/2024,PAGO PSE,91365,370000
11/12/2024,PAGO PSE,11124,1000000
11/13/2024,PAGO PSE,82612,364000
11/19/2024,PAGO PSE,47896,182000
11/30/2024,PAGO PSE,26141,1745250
12/02/2024,PAGO PSE,60468702ab24,41700
12/02/2024,PAGO PSE,97203,1009810
12/02/2024,PAGO PSE,0000020200,2272000
12/02/2024,PAGO PSE,71361,91000
